id,persona_id,tipo_autor_id,proyecto_ley_id,created_at,updated_at,activo,usercreated,usermodifed
27932,134,114,5421,08-09-11 21:29,08-09-11 21:29,1,NA,NA
27933,23,114,5309,09-09-11 17:08,09-09-11 17:08,1,NA,NA
27934,24,114,5309,09-09-11 17:09,09-09-11 17:09,1,NA,NA
27937,134,114,4890,09-09-11 17:13,09-09-11 17:13,1,NA,NA
27938,154,114,4729,09-09-11 18:56,09-09-11 18:56,1,NA,NA
27939,23,114,4600,09-09-11 18:57,09-09-11 18:57,1,NA,NA
27941,117,114,4449,09-09-11 19:04,09-09-11 19:04,1,NA,NA
27942,161,114,4441,09-09-11 19:09,09-09-11 19:09,1,NA,NA
27943,23,114,4431,09-09-11 19:11,09-09-11 19:11,1,NA,NA
27944,111,114,4431,09-09-11 19:11,09-09-11 19:11,1,NA,NA
27946,124,114,4295,09-09-11 19:16,09-09-11 19:16,1,NA,NA
27947,119,114,4294,09-09-11 19:17,09-09-11 19:17,1,NA,NA
27948,93,114,4271,09-09-11 19:18,09-09-11 19:18,1,NA,NA
27949,119,114,4271,09-09-11 19:18,09-09-11 19:18,1,NA,NA
27950,93,114,4260,09-09-11 19:20,09-09-11 19:20,1,NA,NA
27951,118,114,4233,09-09-11 19:23,09-09-11 19:23,1,NA,NA
27952,93,114,3988,09-09-11 19:24,09-09-11 19:24,1,NA,NA
27953,98,114,3921,09-09-11 19:26,09-09-11 19:26,1,NA,NA
27954,162,114,3921,09-09-11 19:28,09-09-11 19:28,1,NA,NA
27955,78,114,3896,09-09-11 19:31,09-09-11 19:31,1,NA,NA
27957,25,114,3867,09-09-11 19:59,09-09-11 19:59,1,NA,NA
27959,82,114,3854,09-09-11 20:02,09-09-11 20:02,1,NA,NA
27966,39,114,3843,09-09-11 20:13,09-09-11 20:13,1,NA,NA
27967,13,114,3843,09-09-11 20:13,09-09-11 20:13,1,NA,NA
27971,26,114,3698,09-09-11 20:26,09-09-11 20:26,1,NA,NA
27972,160,114,3698,09-09-11 20:26,09-09-11 20:26,1,NA,NA
27973,159,114,3696,09-09-11 20:33,09-09-11 20:33,1,NA,NA
27974,51,114,6421,12-09-11 15:01,12-09-11 15:01,1,NA,NA
27975,51,114,6422,12-09-11 15:09,12-09-11 15:09,1,NA,NA
27976,163,114,6422,12-09-11 15:12,12-09-11 15:12,1,NA,NA
27977,51,114,6423,12-09-11 15:24,12-09-11 15:24,1,NA,NA
27978,66,114,6423,12-09-11 15:25,12-09-11 15:25,1,NA,NA
27979,51,114,6424,12-09-11 15:34,12-09-11 15:34,1,NA,NA
27980,51,114,6425,12-09-11 15:42,12-09-11 15:42,1,NA,NA
27981,55,114,6425,12-09-11 15:43,12-09-11 15:43,1,NA,NA
27982,51,114,6426,12-09-11 15:57,12-09-11 15:57,1,NA,NA
27983,52,114,6426,12-09-11 15:57,12-09-11 15:57,1,NA,NA
27984,51,114,6427,12-09-11 16:10,12-09-11 16:10,1,NA,NA
27985,51,114,6428,12-09-11 16:31,12-09-11 16:31,1,NA,NA
27986,52,114,6428,12-09-11 16:32,12-09-11 16:32,1,NA,NA
27987,51,114,6429,12-09-11 16:48,12-09-11 16:48,1,NA,NA
27988,148,114,6429,12-09-11 16:48,12-09-11 16:48,1,NA,NA
27989,51,114,6430,12-09-11 16:56,12-09-11 16:56,1,NA,NA
27990,140,114,6430,12-09-11 16:56,12-09-11 16:56,1,NA,NA
27991,51,114,6431,12-09-11 17:07,12-09-11 17:07,1,NA,NA
27992,164,114,6431,12-09-11 17:09,12-09-11 17:09,1,NA,NA
27993,152,114,3666,12-09-11 17:11,12-09-11 17:11,1,NA,NA
