id,congresista_id,tipo_investigacion_id,descripcion,activo,usercreated,usermodifed,created_at,updated_at
30,1287,90,"La Procuraduría General de la Nación archivó la investigación disciplinaria que se le adelantaba  por presuntamente beneficiarse de los bienes que administraba la Dirección Nacional de Estupefacientes (DNE). (19NOV13). Corte Suprema de Justicia dictó auto inhibitorio a favor de Enríquez Maya al no hallar mérito para investigarlo dentro del llamado proceso de la “parapolítica (19NOV08) Estuvo en  INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA (16ABR08-19NOV08).

La Procuraduría General de la Nación le inició investigación disciplinaria (11MAR11). La investigación se origina a partir de la compulsa de copias que hiciera la Corte Suprema de Justicia para investigar los supuestos indebidos manejos en la Dirección Nacional de Estupefacientes. Llamado a versión libre (18ENE12).

La CSJ presentó auto inhibitorio en contra del senador en el proceso que se le adelantaba por su presunta participación en el delito de tráfico de influencias por el llamado escándalo de los bienes de la Dirección Nacional de Estupefacientes (DNE).
http://www.elespectador.com/noticias/judicial/articulo-355689-archivan-investigacion-contra-senador-carlos-eduardo-enriquez-es
Visto: enero 31/13
http://www.elespectador.com/noticias/judicial/articulo-256299-escandalo-de-dne-procuraduria-abre-indagacion-13-dirigentes
Visto: Enero 31/13

La Corte Suprema abrió investigación preliminar en contra por el supuesto tráfico de influencias que ejercieron dentro de la Dirección Nacional de Estupefacientes, DNE (06ABR11).
http://www.elespectador.com/noticias/judicial/articulo-261299-caso-dne-corte-abre-indagacion-14-dirigentes
Visto: enero 31/13

http://www.elespectador.com/noticias/judicial/archivan-investigacion-contra-henriquez-maya-escandalo-articulo-459170
Tomado: Nov 19/13",TRUE,NA,NA,2010-02-15T22:37:40Z,2014-05-27T10:53:07Z
31,240,60,"Procuraduría lo absolvió en el proceso disciplinario que se le adelantaba en el llamado caso de parapolítica (21MAY13). Quedó el libertad por pena cumplida (10ABR13). Condenado a 9 años (25MAY11) al considerar que el senador tuvo una alianza con el Bloque Tolima de las Autodefensas Unidas de Colombia. Recapturado (22ENE10). El (07OCT09) CSJ retomó proceso contra Gomez Gallo. El (19AGOS08) un juzgado PRECLUYÓ el proceso en contra de GOMEZ GALLO LUIS HUMBERTO por falta de pruebas. Estuvo DETENIDO dentro del proceso de PARAPOLÍTICA (10DIC07). Fue LLAMADO A INDAGATORIA por la Corte Suprema de Justicia dentro del proceso de la PARAPOLITICA (01NOV07). Renunció a su curul (20MAY08). 

http://www.elespectador.com/noticias/judicial/articulo-423215-procuraduria-absolvio-luis-h-gomez-gallo-proceso-parapolitica
Tomado: mayo 21/13
http://www.semana.com/nacion/articulo/hoy-recupero-su-libertad-gomez-gallo/339508-3
Tomado: abril 11/13)

http://www.elespectador.com/noticias/judicial/articulo-272666-nueve-anos-de-carcel-luis-humberto-gomez-gallo-parapolitica
Visto: enero 31/13

La Procuraduría General de la Nación le inició investigación disciplinaria (11MAR11). La investigación se origina a partir de la compulsa de copias que hiciera la Corte Suprema de Justicia para investigar los supuestos indebidos manejos en la Dirección Nacional de Estupefacientes. 
http://www.elespectador.com/noticias/judicial/articulo-256299-escandalo-de-dne-procuraduria-abre-indagacion-13-dirigentes
Visto: enero 31/13

La Corte Suprema abrió investigación preliminar en contra por el supuesto tráfico de influencias que ejercieron dentro de la Dirección Nacional de Estupefacientes, DNE (06ABR11).
http://www.elespectador.com/noticias/judicial/articulo-261299-caso-dne-corte-abre-indagacion-14-dirigentes
Visto: enero 31/13",TRUE,NA,NA,2010-02-15T22:39:40Z,2013-05-21T17:04:31Z
32,273,1,"Dejado en libertad, aunque sigue vinculado a la investigación. (19JUL17). Llamado a juicio (10SEP15). Detenido por presuntos nexos con los desmovilizados grupos paramilitares. (24ENE15). Iindagación preliminar  dentro del proceso de la PARAPOLITICA . Renunció a su curul (13MAY09).
http://www.eltiempo.com/archivo/documento/CMS-5181200
Visto: enero 31/13",TRUE,NA,NA,2010-02-15T22:40:48Z,2017-07-19T20:27:15Z
33,1401,3,"Recapturado (25JUN12). Fue condenado a 90 meses de prisión y al pago de una multa de 6.500 salarios mínimos por el proceso de la parapolítica. La Corte Suprema de Justicia reasumió el caso al admitir la apelación de la Fiscalía para estudiar la absolución de un ex congresista (19ENE11). La Procuraduría abrió un PROCESO DISCIPLINARIO por presuntos nexos con grupos paramilitares (23DIC08). El (19AGOS08) un juzgado PRECLUYÓ el proceso en contra de MONTES MEDINA WILLIAM ALFONSO al comprobarse su inocencia. MONTES MEDINA WILLIAM ALFONSO estuvo DETENIDO e investigado en el proceso de la PARAPOLÍTICA. El Consejo de Estado decidió mantenerle la curul al considerar que la firma del Pacto de Ralito no lo convertía en paramilitar (20NOV07). Renunció a su curul (02FEB08).

http://www.elespectador.com/noticias/judicial/articulo-355286-capturado-excongresista-william-montes-implicado-el-pacto-de-ral
Visto: enero 31/13

http://www.caracol.com.co/nota.aspx?id=654674

http://www.caracol.com.co/nota.aspx?id=1413079&rel=1413260",TRUE,NA,NA,2010-02-15T22:45:00Z,2013-01-31T20:22:47Z
34,724,3,"La Sala Penal de la Corte Suprema de Justicia dejó en firme el fallo emitido por el Tribunal Superior de Bogotá que absolvió al excongresista Ciro Ramírez Pinzón en el proceso que se le adelantó por el delito de concierto para delinquir agravado. (25MAR15) La Procuraduría estableció que en el proceso disciplinario que venía adelantando contra Ciro Ramírez Pinzón no se presentaron pruebas documentales o testimoniales que probaran los nexos políticos o electorales del excongresista con los paramilitares (16MAY13). CONDENADO a 7 años y 6 meses (10MAR11). DETENIDO e investigado en el proceso de la PARAPOLÍTICA (25FEB08)  El proceso volvió a Corte Suprema de Justicia (SEP09). Renunció a la curul (29ABR08). Después de cumplir las tres quintas partes de la pena impuesta fue puesto en libertad (15JUN11). La Procuraduría General de la Nación,  formuló pliego de cargos en contra del exsenador Ciro Ramírez Pinzón, por presuntamente promover y colaborar con grupos armados ilegales, concretamente con las AUC.

http://www.verdadabierta.com/component/content/article/63-nacional/4591-controversial-decision-de-la-procuraduria-a-favor-de-ciro-ramirez/
Visto: mayo 17/13

http://www.elespectador.com/noticias/judicial/articulo-277383-conceden-libertad-condicional-ciro-ramirez
Visto: enero 31/13
http://www.elespectador.com/noticias/judicial/articulo-318920-procuraduria-formulo-cargos-exsenador-ciro-ramirez-pinzon
Visto: enero 31/13",TRUE,NA,NA,2010-02-15T22:46:23Z,2015-03-25T21:02:00Z
35,892,88,"El Consejo de Estado delegó la demanda de pérdida de investidura que pesaba sobre la hoy candidata presidencial Marta Lucía Ramírez. (19ENE10). Se solicitó la pérdida de investidura de la Senadora Ramírez por violación al régimen de inhabilidades porque  la ex Congresista celebró un contrato estatal seis meses antes de posesionarse como Senadora de la República con Bancoldex. (10JUL09).

http://www.elespectador.com/node/182948
Visto: enero 31/13",TRUE,NA,NA,2010-02-15T22:53:48Z,2013-01-31T20:21:02Z
38,232,19,"Disculpas públicas (10JUN15). Absuelto (29SEPT10). Estuvo Detenido en el proceso de la PARAPOLÍTICA (25JUL08)  llamado a juicio (14SEP09). El proceso volvió a la Corte Suprema de Justicia (20OCT09).

http://www.elespectador.com/noticias/judicial/articulo-226818-carlos-garcia-orjuela-fue-absuelto-parapolitica
Visto: enero 31/13",TRUE,NA,NA,2010-02-16T20:55:20Z,2015-06-10T12:01:22Z
39,894,24,"La Corte Suprema de Justicia archivó el proceso al no encontrar pruebas contundentes para relacionar a la exsenadora con grupos paramilitares. Se encontraba en INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA en abril de 2007. Renunció a su curul (30ENE09).

http://www.elespectador.com/noticias/judicial/articulo-292390-archivan-proceso-parapolitica-contra-adriana-gutierrez
Visto: enero 31/13",TRUE,NA,NA,2010-02-16T21:22:49Z,2013-01-31T20:01:43Z
40,899,149,"La Sala Penal de la Corte Suprema de Justicia la absolvió en un proceso que se le adelantó por presuntas irregularidades en contratación en la Cámara de Representantes (01DIC17). La Sala Penal de la Corte Suprema de Justicia la llamó a juicio por presuntos vínculos con paramilitares. (31AGO17). La Sala Penal de la Corte Suprema de Justicia llamó a juicio a la exrepresentante a la Cámara, Zulema Jattin por su presunta participación en las irregularidades que rodearon la celebración de contratos para el arreglo de la iluminación del Capitolio Nacional en el año 2004. (13NOV13). La Corte Suprema de Justicia abrió nuevo proceso contra la ex senadora al llamarla a indagatoria por supuestas irregularidades en un contrato con la Universidad del Magdalena (02MAR11). JATTIN ZULEMA estuvo DETENIDA e INVESTIGADA (11MAY09) dentro del proceso de la PARAPOLITICA . Salió en libertad por vencimiento de términos (07ENE10). Renunció a su curul (13MAY09).

http://www.verdadabierta.com/index.php?option=com_content&id=2120
Visto: enero 31/13

http://www.elespectador.com/noticias/judicial/articulo-254317-nuevo-llamado-indagatoria-contra-zulema-jattin
Visto: enero 31/13
http://www.elespectador.com/noticias/judicial/corte-suprema-llamo-juicio-excongresista-zulema-jattin-articulo-458172
Tomado: Noviembre 14/13",TRUE,NA,NA,2010-02-16T21:24:27Z,2017-12-04T19:17:51Z
41,1908,110,"INDAGACIÓN PRELIMINAR  dentro del proceso de la PARAPOLITICA.
http://eje21.com.co/nacionales-secciones-53/21182-nueve-congresistas-electos-de-la-u-son-investigados-por-parapoltica.html
Visto: enero 31/13

La Corte Suprema de Justicia abrió investigación preliminar contra 27 senadores para esclarecer si alguno de ellos estaba impedido para hacer parte de la votación para elegir jefe del Ministerio Público y, pese a ello, no se declaró impedido e hizo parte de la misma. La idea es comprobar si hubo o no algún conflicto de intereses alrededor de la votación (13SEPT13).

http://www.elespectador.com/noticias/judicial/corte-investiga-27-senadores-articulo-446311
Tomado: septiembre 16/13
",TRUE,NA,NA,2010-02-16T21:30:47Z,2013-09-16T21:26:33Z
