id|votacion_id|corporacion_id|tipo_comision_id|comision_id|activo|usercreated|usermodifed|created_at|updated_at
9039|9925|1|1|7|1|NA|NA|NA|NA
9040|9926|1|1|1|1|NA|NA|NA|NA
9041|9926|1|1|7|1|NA|NA|NA|NA
9062|9930|1|1|1|1|NA|NA|NA|NA
9063|9930|1|1|7|1|NA|NA|NA|NA
9072|9932|1|1|1|1|NA|NA|NA|NA
9073|9932|1|1|7|1|NA|NA|NA|NA
9078|9933|1|1|1|1|NA|NA|NA|NA
9079|9933|1|1|7|1|NA|NA|NA|NA
9092|9943|1|1|1|1|NA|NA|NA|NA
9093|9943|1|1|7|1|NA|NA|NA|NA
9094|9944|1|1|1|1|NA|NA|NA|NA
9095|9944|1|1|7|1|NA|NA|NA|NA
9096|9945|1|1|1|1|NA|NA|NA|NA
9097|9945|1|1|7|1|NA|NA|NA|NA
9098|9946|1|1|1|1|NA|NA|NA|NA
9099|9946|1|1|7|1|NA|NA|NA|NA
9100|9947|1|1|1|1|NA|NA|NA|NA
9101|9947|1|1|7|1|NA|NA|NA|NA
9102|9948|1|1|1|1|NA|NA|NA|NA
9103|9948|1|1|7|1|NA|NA|NA|NA
9104|9951|1|1|1|1|NA|NA|NA|NA
9105|9951|1|1|7|1|NA|NA|NA|NA
9106|9952|1|1|1|1|NA|NA|NA|NA
9107|9952|1|1|7|1|NA|NA|NA|NA
9108|9953|1|1|1|1|NA|NA|NA|NA
9109|9953|1|1|7|1|NA|NA|NA|NA
9110|9957|1|1|1|1|NA|NA|NA|NA
9111|9957|1|1|7|1|NA|NA|NA|NA
9112|9958|1|1|1|1|NA|NA|NA|NA
9113|9958|1|1|7|1|NA|NA|NA|NA
9114|9959|1|1|1|1|NA|NA|NA|NA
9115|9959|1|1|7|1|NA|NA|NA|NA
9116|9965|NA|1|5|1|NA|NA|NA|NA
9118|9966|2|1|5|1|NA|NA|NA|NA
9120|9968|2|1|9|1|NA|NA|NA|NA
9122|9967|2|1|5|1|NA|NA|NA|NA
9123|9969|NA|1|4|1|NA|NA|NA|NA
9125|9970|2|1|5|1|NA|NA|NA|NA
9128|9971|2|1|5|1|NA|NA|NA|NA
9130|9972|2|1|5|1|NA|NA|NA|NA
9132|9973|2|1|5|1|NA|NA|NA|NA
9134|9974|1|1|5|1|NA|NA|NA|NA
9137|9975|1|1|5|1|NA|NA|NA|NA
9139|9976|1|1|5|1|NA|NA|NA|NA
9141|9977|1|1|5|1|NA|NA|NA|NA
9142|9978|NA|1|14|1|NA|NA|NA|NA
9143|9979|1|1|4|1|NA|NA|NA|NA
9145|9980|1|1|4|1|NA|NA|NA|NA
9147|9981|1|1|4|1|NA|NA|NA|NA
9148|9991|1|1|1|1|NA|NA|NA|NA
9149|9991|1|1|7|1|NA|NA|NA|NA
9150|9992|1|1|1|1|NA|NA|NA|NA
9151|9992|1|1|7|1|NA|NA|NA|NA
9152|9993|1|1|1|1|NA|NA|NA|NA
9153|9993|1|1|7|1|NA|NA|NA|NA
9154|9994|2|1|11|1|NA|NA|NA|NA
9161|9996|2|1|11|1|NA|NA|NA|NA
9162|9995|2|1|11|1|NA|NA|NA|NA
9168|9999|1|1|11|1|NA|NA|NA|NA
9169|9998|1|1|11|1|NA|NA|NA|NA
9170|9997|1|1|11|1|NA|NA|NA|NA
9171|10036|NA|1|11|1|NA|NA|NA|NA
9175|10038|NA|1|11|1|NA|NA|NA|NA
9177|10039|NA|1|11|1|NA|NA|NA|NA
9178|10037|NA|1|11|1|NA|NA|NA|NA
9180|10040|NA|1|11|1|NA|NA|NA|NA
9194|10041|1|1|11|1|NA|NA|NA|NA
9195|10042|1|1|11|1|NA|NA|NA|NA
9197|10043|1|1|11|1|NA|NA|NA|NA
9199|10044|NA|1|11|1|NA|NA|NA|NA
9213|10058|2|1|9|1|NA|NA|NA|NA
9218|10059|2|1|9|1|NA|NA|NA|NA
9220|10060|2|1|9|1|NA|NA|NA|NA
9221|10061|2|1|8|1|NA|NA|NA|NA
9222|10061|2|1|10|1|NA|NA|NA|NA
9225|10062|2|1|8|1|NA|NA|NA|NA
9226|10062|2|1|10|1|NA|NA|NA|NA
9229|10063|1|1|8|1|NA|NA|NA|NA
9230|10063|1|1|10|1|NA|NA|NA|NA
9231|10065|1|1|4|1|NA|NA|NA|NA
9242|10071|2|1|9|1|NA|NA|NA|NA
9244|10068|2|1|9|1|NA|NA|NA|NA
9246|10073|2|1|9|1|NA|NA|NA|NA
9253|10074|1|1|11|1|NA|NA|NA|NA
9254|10074|1|1|4|1|NA|NA|NA|NA
9255|10075|1|1|11|1|NA|NA|NA|NA
9256|10075|1|1|4|1|NA|NA|NA|NA
9258|10079|NA|1|9|1|NA|NA|NA|NA
9259|10086|NA|1|11|1|NA|NA|NA|NA
9260|9609|2|1|7|1|NA|NA|NA|NA
9261|10057|1|1|11|1|NA|NA|NA|NA
9262|10057|1|1|4|1|NA|NA|NA|NA
9263|10052|1|1|1|1|NA|NA|NA|NA
9264|10054|1|1|1|1|NA|NA|NA|NA
9265|10053|1|1|1|1|NA|NA|NA|NA
9266|10051|1|1|7|1|NA|NA|NA|NA
9267|10050|1|1|7|1|NA|NA|NA|NA
9268|9917|1|1|1|1|NA|NA|NA|NA
9269|9917|1|1|7|1|NA|NA|NA|NA
9274|9928|1|1|1|1|NA|NA|NA|NA
9275|9928|1|1|7|1|NA|NA|NA|NA
9276|9929|1|1|1|1|NA|NA|NA|NA
9277|9929|1|1|7|1|NA|NA|NA|NA
9278|9931|1|1|1|1|NA|NA|NA|NA
9279|9931|1|1|7|1|NA|NA|NA|NA
9280|9934|1|1|1|1|NA|NA|NA|NA
9281|9934|1|1|7|1|NA|NA|NA|NA
9282|9935|1|1|1|1|NA|NA|NA|NA
9283|9935|1|1|7|1|NA|NA|NA|NA
9284|9936|1|1|1|1|NA|NA|NA|NA
9285|9936|1|1|7|1|NA|NA|NA|NA
9286|9937|1|1|1|1|NA|NA|NA|NA
9287|9937|1|1|7|1|NA|NA|NA|NA
9288|9916|1|1|1|1|NA|NA|NA|NA
9289|9916|1|1|7|1|NA|NA|NA|NA
9290|9915|1|1|7|1|NA|NA|NA|NA
9291|9914|1|1|7|1|NA|NA|NA|NA
9292|9913|1|1|7|1|NA|NA|NA|NA
9293|9893|1|1|7|1|NA|NA|NA|NA
9294|9895|1|1|7|1|NA|NA|NA|NA
9295|9891|1|1|1|1|NA|NA|NA|NA
9296|9894|1|1|7|1|NA|NA|NA|NA
9297|9892|1|1|1|1|NA|NA|NA|NA
9299|10102|NA|1|3|1|NA|NA|NA|NA
9303|10103|1|1|5|1|NA|NA|NA|NA
9306|10104|1|1|1|1|NA|NA|NA|NA
9309|10106|1|1|1|1|NA|NA|NA|NA
9310|10106|1|1|7|1|NA|NA|NA|NA
9311|10107|1|1|1|1|NA|NA|NA|NA
9312|10107|1|1|7|1|NA|NA|NA|NA
9315|10108|1|1|1|1|NA|NA|NA|NA
9316|10108|1|1|7|1|NA|NA|NA|NA
9317|10109|1|1|1|1|NA|NA|NA|NA
9318|10109|1|1|7|1|NA|NA|NA|NA
9319|10110|1|1|1|1|NA|NA|NA|NA
9320|10110|1|1|7|1|NA|NA|NA|NA
9321|10111|1|1|1|1|NA|NA|NA|NA
9322|10111|1|1|7|1|NA|NA|NA|NA
9323|10105|1|1|1|1|NA|NA|NA|NA
9324|10105|1|1|7|1|NA|NA|NA|NA
9325|10112|1|1|1|1|NA|NA|NA|NA
9326|10112|1|1|7|1|NA|NA|NA|NA
9327|10113|1|1|1|1|NA|NA|NA|NA
9328|10113|1|1|7|1|NA|NA|NA|NA
9329|10114|1|1|1|1|NA|NA|NA|NA
9330|10114|1|1|7|1|NA|NA|NA|NA
9331|10115|1|1|1|1|NA|NA|NA|NA
9332|10115|1|1|7|1|NA|NA|NA|NA
9333|10116|1|1|1|1|NA|NA|NA|NA
9334|10116|1|1|7|1|NA|NA|NA|NA
9335|10117|1|1|1|1|NA|NA|NA|NA
9336|10117|1|1|7|1|NA|NA|NA|NA
9341|10118|1|1|1|1|NA|NA|NA|NA
9342|10118|1|1|7|1|NA|NA|NA|NA
9345|10119|1|1|1|1|NA|NA|NA|NA
9346|10119|1|1|7|1|NA|NA|NA|NA
