id|cuatrienio_id|comision_id|congresista_id|cargo_legislativo_id_comision|fecha_inicio|fecha_fin|activo|usercreated|usermodifed|created_at|updated_at
145|1|10|73|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|22-09-2010 21:02
146|1|9|77|NA|09-09-1999|31-12-1999|1|NA|NA|17-01-2010 17:29|24-09-2010 14:46
147|1|9|82|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|24-09-2010 15:22
148|1|7|84|NA|12-10-1999|19-07-2002|1|NA|NA|17-01-2010 17:29|24-09-2010 15:43
149|1|7|85|NA|20-07-1998|14-05-2002|1|NA|NA|17-01-2010 17:29|24-09-2010 16:02
150|1|2|92|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|27-09-2010 20:56
151|1|12|98|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|27-09-2010 22:06
152|1|6|99|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 15:43
153|1|12|101|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 16:00
154|1|7|103|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 16:24
155|1|9|118|NA|20-07-1998|08-10-2001|1|NA|NA|17-01-2010 17:29|28-09-2010 18:43
156|1|10|120|NA|20-07-1998|19-07-2002|1|NA|NA|17-01-2010 17:29|28-09-2010 18:49
157|6|6|1811|2|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:13|24-08-2010 17:13
158|6|6|1018|2|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:13|24-08-2010 17:13
159|6|6|2218|2|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:13|24-08-2010 17:13
160|6|6|2484|2|20-07-2010|19-07-2011|1|NA|NA|24-08-2010 17:13|24-08-2010 17:13
