id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
49213,469,1664,1,NA,NA,NA,NA
49214,469,1637,1,NA,NA,NA,NA
49253,535,1612,1,NA,NA,NA,NA
49254,535,1505,1,NA,NA,NA,NA
49255,535,1316,1,NA,NA,NA,NA
49256,535,1395,1,NA,NA,NA,NA
49257,535,1664,1,NA,NA,NA,NA
49258,535,1637,1,NA,NA,NA,NA
51120,424,1636,1,NA,NA,NA,NA
51122,13,991,1,NA,NA,NA,NA
51123,13,1838,1,NA,NA,NA,NA
51124,13,993,1,NA,NA,NA,NA
51125,13,1475,1,NA,NA,NA,NA
51126,1028,1636,1,NA,NA,NA,NA
51127,14,1452,1,NA,NA,NA,NA
51128,14,1679,1,NA,NA,NA,NA
51129,81,1099,1,NA,NA,NA,NA
51130,1075,1469,1,NA,NA,NA,NA
51131,1075,155,1,NA,NA,NA,NA
51132,483,1469,1,NA,NA,NA,NA
51133,483,155,1,NA,NA,NA,NA
51139,514,1639,1,NA,NA,NA,NA
51140,514,1720,1,NA,NA,NA,NA
51142,481,1157,1,NA,NA,NA,NA
51144,480,1157,1,NA,NA,NA,NA
51145,479,765,1,NA,NA,NA,NA
51146,479,8,1,NA,NA,NA,NA
51147,479,1157,1,NA,NA,NA,NA
51151,499,1636,1,NA,NA,NA,NA
51152,80,1143,1,NA,NA,NA,NA
51153,80,1427,1,NA,NA,NA,NA
51154,80,755,1,NA,NA,NA,NA
51155,80,1676,1,NA,NA,NA,NA
51156,80,1179,1,NA,NA,NA,NA
51157,80,815,1,NA,NA,NA,NA
51158,80,744,1,NA,NA,NA,NA
51159,80,566,1,NA,NA,NA,NA
51160,80,1237,1,NA,NA,NA,NA
51161,80,641,1,NA,NA,NA,NA
51162,80,615,1,NA,NA,NA,NA
51163,80,1430,1,NA,NA,NA,NA
51165,387,401,1,NA,NA,NA,NA
51166,387,1229,1,NA,NA,NA,NA
51167,387,602,1,NA,NA,NA,NA
51168,387,1271,1,NA,NA,NA,NA
51169,387,1967,1,NA,NA,NA,NA
51200,505,1374,1,NA,NA,NA,NA
51201,423,772,1,NA,NA,NA,NA
51202,423,1457,1,NA,NA,NA,NA
51203,423,72,1,NA,NA,NA,NA
51204,423,734,1,NA,NA,NA,NA
51205,498,2073,1,NA,NA,NA,NA
51206,503,217,1,NA,NA,NA,NA
51207,503,714,1,NA,NA,NA,NA
51208,503,1679,1,NA,NA,NA,NA
51209,503,623,1,NA,NA,NA,NA
51210,508,1351,1,NA,NA,NA,NA
51211,509,726,1,NA,NA,NA,NA
51212,509,1718,1,NA,NA,NA,NA
51213,484,1495,1,NA,NA,NA,NA
51214,500,1495,1,NA,NA,NA,NA
51215,500,1374,1,NA,NA,NA,NA
51218,78,1367,1,NA,NA,NA,NA
51219,419,1612,1,NA,NA,NA,NA
51220,419,1352,1,NA,NA,NA,NA
51221,419,876,1,NA,NA,NA,NA
51228,1027,1070,1,NA,NA,NA,NA
51229,1026,1415,1,NA,NA,NA,NA
51230,530,1464,1,NA,NA,NA,NA
51231,530,1762,1,NA,NA,NA,NA
51233,530,1016,1,NA,NA,NA,NA
51234,530,1388,1,NA,NA,NA,NA
51235,530,1126,1,NA,NA,NA,NA
51236,531,1464,1,NA,NA,NA,NA
51237,531,1762,1,NA,NA,NA,NA
