id|agenda_legislativa_actividad_id|cuatrienio_id|legislatura_id|tipo_control_politico_id|estado_control_politico_id|titulo|fecha|tema_principal_id|tema_secundario_id|plenaria|tags|detalles|gacetas|numero_proposicion|activo|usercreated|usermodifed|created_at|updated_at
4929|98025|8|26|1|NA|“Crisis de proyectos de infraestructura en el sector transporte a nivel nacional.”|16/10/2019|73|100|FALSE|NA|NA|NA|65|NA|NA|NA|NA|NA
4930|98034|8|NA|1|NA|"Desarrollo del informe presupuestal para el proyecto de presupuesto de gastos de la Nación para la vigencia fiscal 2021 en cumplimiento de los artículos 2º y 4º de la Ley 3ª de 1992.

Control político para escuchar a las entidades:
• Superintendente del Subsidio Familiar
• Superintendente de la Economía Solidaria
• Ministro del Deporte
"|NA|133|116|FALSE|NA|NA|NA|NA|NA|NA|NA|NA|NA
4931|97912|8|NA|1|NA|"Responder el cuestionario con respecto a cada cartera, en relación con el Proyecto de Ley No. 296/2020 Cámara ""Por la cual se decreta el presupuesto de rentas y recursos de capital y ley de apropiaciones para la vigencia fiscal del 1º de enero al 31 de diciembre de 2021""."|NA|133|11|FALSE|pgn, Corte Suprema de Justicia, Corte Constitucional, Consejo de Estado, Consejo Superior de la Judicatura, Jurisdicción Especial para la Paz, Fiscalia General de la Nacion, Procuradoria General de la|NA|803/20|NA|NA|NA|NA|NA|NA
4932|97837|8|NA|1|NA|Sustentación de los informes presupuestales 2021 del Minvivienda y Mintrabajo, para los efectos de las recomendaciones a las cuales alude el artículo cuarto (4º) de la Ley Tercera de 1992.|NA|133|22|FALSE|pgn, presupuesto vivienda, trabajo, laboral|NA|954/20|NA|NA|NA|NA|NA|NA
4933|97977|8|26|1|NA|Respondan los cuestionamientos a propósito del comportamiento del Covid-19 en nuestro país en el último mes.|11/06/2020|10|128|FALSE|covid 19|NA|957/20|27, 05|NA|NA|NA|NA|NA
4934|97887|8|NA|1|NA|Sustentación de los informes presupuestales 2021 del ministerio de salud y protección social, para los efectos de las recomendaciones a las cuales alude el artículo cuarto (4º) de la ley tercera de 1992.|NA|133|10|FALSE|pgn,salud, seguridad social|NA|955/20|NA|NA|NA|NA|NA|NA
4935|97925|8|NA|1|NA|Informen y expliquen los avances y los resultados de su gestión correspondiente al plan de inversión anunciado por Ecopetrol en el año 2019 por un monto de Mil Quinientos Millones de Dólares Americanos (USD$ 1,5 Billones) para hacer Fracking en pozos No Convencionales en alianza con la compañía OXY en los campos Permian ubicados en Estados Unidos.|NA|56|41|FALSE|ecopetrol, cenit,|NA|1138/20|4|NA|NA|NA|NA|NA
4936|97905|8|27|1|NA|Discutir sobre las partidas asignadas a las carteras de Minas y Energía, y Ambiente y Desarrollo Sostenible, en el proyecto de ley de Presupuesto General de la Nación para la vigencia fiscal del 2021 (Proyecto de Ley No. 296 de 2020 Cámara - 185 de 2020 Senado)|28/07/2020|133|3|FALSE|pgn, presupuesto general de la nacion, minas, energía, medio ambiente, desarrollo sostenible|NA|1151/20|23, 25, 26|NA|NA|NA|NA|NA
4937|97999|8|NA|1|NA|Fijen su posición sobre el Proyecto de Ley 127 de 2020 Senado “Por la cual se dictan normas para garantizar los derechos a la vida, a la integridad personal y a la salud de los individuos mediante la seguridad vial bajo el enfoque de Sistema Seguro, y se dictan otras disposiciones”. Y en general sobre la Política Pública de Seguridad Vial del Gobierno Nacional.|NA|100|138|FALSE|seguridad vial|NA|1139/20|33|NA|NA|NA|NA|NA
4938|97833|8|NA|1|NA|Medidas tomadas en materia financiera, a raíz de las afectaciones generadas por la pandemia del Covid – 19.|NA|41|128|FALSE|economia, covid 19|NA|1173/20|NA|NA|NA|NA|NA|NA
4939|97900|8|27|1|NA|Situación actual de los cultivos ilícitos en Colombia|04/08/2020|123|116|FALSE|narcotrafico, narcocultivos, sustitucion del cultivos, cultivos ilicitos|NA|1008/20|4|NA|NA|NA|NA|NA
4940|97919|8|26|1|NA|Nos ilustren sobre las medidas que se adoptarán para la reactivación económica frente a la crisis suscitada alrededor de la pandemia.|12/06/2020|41|128|FALSE|covid 19, reactivacion economica, pandemia|NA|1309/20|21|NA|NA|NA|NA|NA
4941|98017|8|27|1|NA|Responda el cuestionario relacionado con los colegios privados, dadas las circunstancias de la pandemia, en que más de 200 instituciones de jardines infantiles serán cerrados, solamente en la ciudad de Bogotá.|10/08/2020|2|128|FALSE|jardines infantiles, covid 19|NA|NA|9|NA|NA|NA|NA|NA
4942|87146|8|25|1|NA|Presentar, en primer lugar, un  informe financiero completo de los proyectos de infraestructura Ruta del Sol II y III y  luego se sirvan  responder el cuestionario anexo a esta proposición sobre “La ruta del sol sector II y III”.|11/04/2019|73|100|FALSE|vias, infraestructura|NA|482/20|175|NA|NA|NA|NA|NA
4943|98046|8|27|1|NA|Debate de control político para discutir sobre implementación y manejo de los recursos recaudados por el impuesto al carbono para la promoción del desarrollo sostenible, bajo en carbono y resiliente del país|22/07/2020|134|3|FALSE|impuesto al carbono|NA|NA|7|NA|NA|NA|NA|NA
4944|98121|8|NA|1|NA|Avance en los programas financieros creados por el Gobierno Nacional, específicamente el desembolso en líneas de crédito que tienen garantías del Fondo Nacional de Garantías, para ayudar a los colombianos en el suceso de la pandemia del COVID-19.|NA|41|128|FALSE|creditos, fondo nacional de garantias|NA|1174/20|8, 12|NA|NA|NA|NA|NA
4945|98373|8|NA|1|NA|Manifiesten su posición sobre el contenido de la sentencia de la CIDH referente al caso del exalcalde Gustavo Petro Urrego, y del mandato de la CIHD sobre la adaptación normativa que el Estado colombiano debe realizar.|NA|11|122|FALSE|sentencia corte interamericana derechos humanos, gustavo petro|NA|1506/20|44|NA|NA|NA|NA|NA
4946|98192|8|26|1|NA|Expongan la percepción y retos que tiene el país frente a la industria del Cannabis medicinal, el posible uso del Cannabis medicinal como sustituto de los cultivos ilícitos y como una opción industrial para el desarrollo económico colombiano.|01/06/2020|10|8|FALSE|canabbis medicinal|NA|43/21|82|NA|NA|NA|NA|NA
4947|98223|8|NA|1|NA|Rendir un Informe del estado del arte del desempeño y compromiso de la ADR, entidad que preside, así como dar claridad sobre la estructuración, cofinanciación y ejecución de planes y proyectos integrales de desarrollo agropecuario y rural nacionales y de iniciativa territorial o asociativa.|NA|8|138|FALSE|Agencia de Desarrollo Rural|NA|44/21|12|NA|NA|NA|NA|NA
4948|95203|8|NA|1|NA|Discutir sobre la situación de recursos destinados al sector salud con ocasión del COVID|NA|41|10|FALSE|recursos en salud, covid 19|NA|487/20|13|NA|NA|NA|NA|NA
4949|98038|8|26|1|NA|Rindan informe de control político sobre el Plan Nacional de Turismo y todos los demás planes, programas y proyecto para el adecuado avance de las metas propuestas en el Plan Nacional de Desarrollo 2018-2022.|08/10/2019|64|128|FALSE|turismo, covid 19|NA|NA|34|NA|NA|NA|NA|NA
4950|98049|8|NA|2|NA|Tema: Proyecto de Ley No. 364 de 2020 Cámara – No. 007 de 2019 Senado “Por medio de la cual se reforma el Código de Procedimiento Administrativo y de lo Contencioso Administrativo – Ley 1437 de 2011- y se dictan disposiciones en materia de descongestión en los procesos que se tramitan ante esta Jurisdicción”.|NA|11|122|FALSE|descongestion judicial|NA|912/20|NA|NA|NA|NA|NA|NA
4951|98050|8|NA|3|NA|Foro sobre el Proyecto de Ley 284 de 2020 Senado – 199 de 2019 Cámara Acumulado con el Proyecto de Ley 247 de 2019 Cámara. “Por medio de la cual se modifica la Ley 1448 de 2011 y los Decretos Ley Étnicos 4633 de 2011, 4634 de 2011 y 4635 de 2011, ampliando por 10 años su vigencia”, para escuchar a los distintos actores y organizaciones de la sociedad civil, relacionados con la Ley 1448 de 2011 -Ley de Víctimas y Restitución de Tierras-, particularmente a las organizaciones de víctimas.|NA|119|146|FALSE|ley de victimas|NA|NA|32, 36|NA|NA|NA|NA|NA
4952|98066|8|26|1|NA|Expongan la percepción y retos que tiene el país frente a la industria del Cannabis medicinal, el posible uso del Cannabis medicinal como sustituto de los cultivos ilícitos y como una opción industrial para el desarrollo económico colombiano.|01/06/2020|8|10|FALSE|marihuana medicinal, cannabis|NA|NA|82|NA|NA|NA|NA|NA
4953|98094|8|27|1|NA|"Conocer la situación del mercado de telecomunicaciones: Desde hace un tiempo hemos venido revisando en el Congreso la situación del mercado de telecomunicaciones en especial por la participación en el mercado que ostenta el operador Claro. Después de la expedición de la ley 1978 de 2019, que busco modernizar el sector TIC, mucho se habló de la composición de la nueva comisión de regulación que debería definir los procesos que al interior del regulador se venían estudiando. En los términos de ley la nueva CRC debería estar conformada máximo a los tres meses de expedida la ley, esto es en octubre del año anterior. Así mismo en este congreso con ocasión de la tan cuestionada subasta llevada a cabo en diciembre del año pasado, también se vimos en medios de comunicación a los operadores solicitando se revisaran las condiciones de competencia.
Con lo anterior, es importante que desde el Congreso contemos con información sobre las acciones adelantadas por el nuevo regulador para garantizar unas condiciones de competencia en el mercado y con ello garantizar el bienestar de los usuarios y consumidores de los servicios públicos de telecomunicaciones."|05/08/2020|53|41|FALSE|telecomunicaciones, posicion dominante en el mercado|NA|NA|14|NA|NA|NA|NA|NA
4954|98097|8|NA|2|NA|La cultura en tiempos de pandemia.|NA|2|128|FALSE|sector cultural|NA|NA|NA|NA|NA|NA|NA|NA
4955|98101|8|27|1|NA|Presentar informes y recomendaciones a las Comisiones Terceras y Cuartas conforme a lo estipulado en el artículo 4 de la ley 3ª de 1992; respecto al Proyecto de Ley 296 de 2020 Cámara “Por la cual se decreta el presupuesto de rentas y recursos de capital y ley de apropiaciones para la vigencia fiscal del 1º de enero al 31 de diciembre de 2021”|18/08/2020|133|41|FALSE|pgn, cancilleria, sector defensa, sector comercio, sector turismo|NA|NA|7|NA|NA|NA|NA|NA
4956|98104|8|NA|1|NA|Desarrollo del informe presupuestal para el proyecto de presupuesto de gastos de la nación para la vigencia fiscal 2021 en cumplimiento de los  artículos 2º y  4º  de la ley 3ª  de 1992. Control politico para escuchar a las entidades: ICBF, Colpensiones, UGPP - Unidad de Gestión Pensional y Parafiscales, Ministerio de Vivienda Ciudad y Territorio|NA|133|116|FALSE|pgn, icbf, ugpp, ministerio de vivienda, colpensiones|NA|NA|NA|NA|NA|NA|NA|NA
4957|98107|8|NA|1|NA|"Desarrollo del informe presupuestal para el proyecto de presupuesto de gastos de la nación para la vigencia fiscal 2021 en cumplimiento de los artículos 2º y 4º de la ley 3ª de 1992.

Control político para escuchar a las entidades: Departamento de la Prosperidad Social; Ministerio de Hacienda y Crédito Público."|NA|133|116|FALSE|pgn, bienestar social|NA|NA|NA|NA|NA|NA|NA|NA
4958|98113|8|NA|2|NA|Atención a la crisis de Seguridad y Derechos Humanos en el departamento del Meta.|NA|119|146|FALSE|derechos humano, meta|NA|NA|NA|NA|NA|NA|NA|NA
4959|95878|8|NA|1|NA|Debate de control político para discutir sobre la cosecha cafetera y la coyuntura especial de precios, frente a la emergencia del covid-19.|NA|8|128|FALSE|cosehca cafetera, covid 19|NA|503/20|49|NA|NA|NA|NA|NA
4960|98142|8|27|1|NA|Discutir sobre implementación y manejo de los recursos recaudados por el impuesto al carbono para la promoción del desarrollo sostenible bajo en carbono y resiliente del país. De acuerdo con la proposición no. 07 de 2020.|22/07/2020|134|3|FALSE|impuesto al carbono, desarrollo sostenible|NA|NA|7|NA|NA|NA|NA|NA
4961|98165|8|NA|2|NA|Audiencia pública con el objeto de conocer la posición del Gobierno Nacional, los gremios, la academia y demás interesados en aportar en el trámite del Proyecto de Ley No. 221 de 2019 Cámara: “Manejo integral del fuego y prevención de incendios forestales”|NA|128|138|FALSE|manejo integral del fuego|NA|NA|NA|NA|NA|NA|NA|NA
4962|98172|8|27|1|NA|Ministerio de Comercio, Industria y Turismo presente un informe de rendición de cuentas de los dos años de gobierno, en el que se incluya ejecución presupuestal, objetivos, metas, logros, etc|27/07/2020|133|41|FALSE|pgn, comercio, industria, turismo|NA|NA|1|NA|NA|NA|NA|NA
4963|98173|8|NA|1|NA|Impacto y los beneficios económicos y sociales que han tenido el desarrollo y expansión de programas sociales como: Familias en Acción, Jóvenes en Acción, Colombia Mayor, Ingreso Solidario y Devolución del IVA|NA|116|121|FALSE|programas sociales, familias en accion, jovenes en accion, colombia mayor, ingreso solidario, devolucion del iva|NA|NA|NA|NA|NA|NA|NA|NA
4964|98187|8|27|1|NA|Solicitamos a los miembros de la Comisión Segunda de la Corporación, se nombre una subcomisión para presentar informes y recomendaciones a las Comisiones Terceras y Cuartas conforme a lo estipulado en el artículo 4 de la ley 3ª de 1992; respecto al Proyecto de Ley 296 de 2020 Cámara “Por la cual se decreta el presupuesto de rentas y recursos de capital y ley de apropiaciones para la vigencia fiscal del 1º de enero al 31 de diciembre de 2021”, y en observancia de la circular No. 001-2020, de Comisiones Económicas Conjuntas Terceras y Cuartas de Senado de la República y Cámara de Representantes.|18/08/2020|133|121|FALSE|pgn|NA|NA|7|NA|NA|NA|NA|NA
