id,control_politico_id,persona_id,asistencia_id,tipo_citado,activo,usercreated,usermodifed,created_at,updated_at
181,5101,16703,NA,0,1,NA,NA,NA,NA
182,5101,16933,NA,1,1,NA,NA,NA,NA
183,5101,16935,NA,0,1,NA,NA,NA,NA
184,5100,16703,NA,0,1,NA,NA,NA,NA
185,5100,16916,NA,1,1,NA,NA,NA,NA
186,5100,16935,NA,0,1,NA,NA,NA,NA
187,5100,17107,NA,1,1,NA,NA,NA,NA
188,5100,17110,NA,0,1,NA,NA,NA,NA
189,5100,17234,NA,0,1,NA,NA,NA,NA
190,5100,17252,NA,0,1,NA,NA,NA,NA
191,5097,16916,NA,0,1,NA,NA,NA,NA
192,5097,17107,NA,0,1,NA,NA,NA,NA
193,5096,17107,NA,0,1,NA,NA,NA,NA
194,5096,17116,NA,0,1,NA,NA,NA,NA
195,5096,15130,NA,0,1,NA,NA,NA,NA
196,5096,17234,NA,0,1,NA,NA,NA,NA
197,5095,2521,NA,0,1,NA,NA,NA,NA
198,5095,14869,NA,0,1,NA,NA,NA,NA
199,5095,16916,NA,0,1,NA,NA,NA,NA
200,5095,17107,NA,0,1,NA,NA,NA,NA
201,5094,16703,NA,0,1,NA,NA,NA,NA
202,5094,16935,NA,0,1,NA,NA,NA,NA
203,5094,17119,NA,1,1,NA,NA,NA,NA
204,5093,17095,NA,1,1,NA,NA,NA,NA
205,5093,17107,NA,1,1,NA,NA,NA,NA
206,5093,17109,NA,1,1,NA,NA,NA,NA
207,5093,17119,NA,1,1,NA,NA,NA,NA
208,5093,17191,NA,1,1,NA,NA,NA,NA
209,5093,17240,NA,1,1,NA,NA,NA,NA
210,5093,17241,NA,1,1,NA,NA,NA,NA
211,5093,16970,NA,1,1,NA,NA,NA,NA
212,5092,14659,NA,1,1,NA,NA,NA,NA
213,5092,16703,NA,0,1,NA,NA,NA,NA
214,5092,16868,NA,1,1,NA,NA,NA,NA
215,5092,16897,NA,1,1,NA,NA,NA,NA
216,5092,17110,NA,0,1,NA,NA,NA,NA
217,5092,17117,NA,0,1,NA,NA,NA,NA
218,5092,17170,NA,0,1,NA,NA,NA,NA
219,5092,15130,NA,1,1,NA,NA,NA,NA
220,5092,17268,NA,0,1,NA,NA,NA,NA
221,5092,17269,NA,0,1,NA,NA,NA,NA
222,5090,17007,NA,1,1,NA,NA,NA,NA
223,5090,17251,NA,1,1,NA,NA,NA,NA
224,5089,16703,NA,0,1,NA,NA,NA,NA
225,5089,16935,NA,0,1,NA,NA,NA,NA
226,5089,17119,NA,1,1,NA,NA,NA,NA
227,5086,17109,1,1,1,NA,NA,NA,NA
228,5085,16703,NA,0,1,NA,NA,NA,NA
229,5085,17053,NA,1,1,NA,NA,NA,NA
230,5085,17095,NA,1,1,NA,NA,NA,NA
231,5085,17107,NA,1,1,NA,NA,NA,NA
232,5085,17109,NA,1,1,NA,NA,NA,NA
233,5085,17110,NA,0,1,NA,NA,NA,NA
234,5085,17119,NA,1,1,NA,NA,NA,NA
235,5085,17234,NA,0,1,NA,NA,NA,NA
236,5085,17240,NA,1,1,NA,NA,NA,NA
237,5085,17241,NA,1,1,NA,NA,NA,NA
238,5084,16987,NA,0,1,NA,NA,NA,NA
239,5084,16996,NA,0,1,NA,NA,NA,NA
240,5084,17037,NA,0,1,NA,NA,NA,NA
241,5084,17163,NA,0,1,NA,NA,NA,NA
242,5084,17200,NA,0,1,NA,NA,NA,NA
243,5084,15130,NA,0,1,NA,NA,NA,NA
244,5082,16969,1,1,1,NA,NA,NA,NA
245,5081,15512,1,1,1,NA,NA,NA,NA
246,5081,17253,1,1,1,NA,NA,NA,NA
247,5081,17254,1,1,1,NA,NA,NA,NA
248,5081,17255,1,1,1,NA,NA,NA,NA
249,5081,17256,1,1,1,NA,NA,NA,NA
250,5081,17257,1,1,1,NA,NA,NA,NA
251,5081,17258,1,1,1,NA,NA,NA,NA
252,5081,17259,1,1,1,NA,NA,NA,NA
253,5081,17260,1,1,1,NA,NA,NA,NA
254,5081,17261,1,1,1,NA,NA,NA,NA
255,5081,17262,1,1,1,NA,NA,NA,NA
256,5081,17263,1,1,1,NA,NA,NA,NA
257,5081,17264,1,1,1,NA,NA,NA,NA
258,5080,14659,2,1,1,NA,NA,NA,NA
259,5080,15511,1,1,1,NA,NA,NA,NA
260,5080,16639,NA,0,1,NA,NA,NA,NA
261,5080,16703,2,0,1,NA,NA,NA,NA
262,5080,16894,1,1,1,NA,NA,NA,NA
263,5080,16935,NA,0,1,NA,NA,NA,NA
264,5080,17061,NA,1,1,NA,NA,NA,NA
265,5080,16678,NA,0,1,NA,NA,NA,NA
266,5079,17107,NA,0,1,NA,NA,NA,NA
267,5079,17109,NA,0,1,NA,NA,NA,NA
268,5078,16703,NA,1,1,NA,NA,NA,NA
269,5078,16898,NA,1,1,NA,NA,NA,NA
