id,proyecto_ley_estado_id,comision_id,activo,usercreated,usermodifed,created_at,updated_at
229,30501,1,1,NA,NA,NA,NA
230,30484,4,1,NA,NA,NA,NA
231,30369,7,1,NA,NA,NA,NA
6269,36885,12,1,NA,NA,NA,NA
233,30482,3,1,NA,NA,NA,NA
6270,36892,11,1,NA,NA,NA,NA
237,30727,1,1,NA,NA,NA,NA
239,30485,12,1,NA,NA,NA,NA
6276,36899,7,1,NA,NA,NA,NA
241,30738,5,1,NA,NA,NA,NA
242,30359,7,1,NA,NA,NA,NA
243,30283,4,1,NA,NA,NA,NA
244,30211,7,1,NA,NA,NA,NA
13792,44776,7,1,NA,NA,NA,NA
247,30235,12,1,NA,NA,NA,NA
248,30235,13,1,NA,NA,NA,NA
249,30284,7,1,NA,NA,NA,NA
250,30264,7,1,NA,NA,NA,NA
251,30164,1,1,NA,NA,NA,NA
252,30236,1,1,NA,NA,NA,NA
6862,3144,7,1,NA,NA,NA,NA
13829,43548,11,1,NA,NA,NA,NA
255,30290,1,1,NA,NA,NA,NA
256,30323,1,1,NA,NA,NA,NA
257,30286,3,1,NA,NA,NA,NA
258,30321,7,1,NA,NA,NA,NA
259,30322,7,1,NA,NA,NA,NA
13888,42466,11,1,NA,NA,NA,NA
261,30285,12,1,NA,NA,NA,NA
262,30180,4,1,NA,NA,NA,NA
263,30186,1,1,NA,NA,NA,NA
265,30184,14,1,NA,NA,NA,NA
266,30288,7,1,NA,NA,NA,NA
6278,36907,11,1,NA,NA,NA,NA
268,30371,2,1,NA,NA,NA,NA
6863,37867,2,1,NA,NA,NA,NA
270,30185,14,1,NA,NA,NA,NA
271,30172,1,1,NA,NA,NA,NA
6864,4594,14,1,NA,NA,NA,NA
6865,26514,2,1,NA,NA,NA,NA
275,30282,7,1,NA,NA,NA,NA
276,30122,7,1,NA,NA,NA,NA
277,30175,11,1,NA,NA,NA,NA
278,30174,11,1,NA,NA,NA,NA
14033,45207,4,1,NA,NA,NA,NA
280,30113,1,1,NA,NA,NA,NA
14081,45255,5,1,NA,NA,NA,NA
282,30114,11,1,NA,NA,NA,NA
283,30115,11,1,NA,NA,NA,NA
284,30116,11,1,NA,NA,NA,NA
6281,36912,6,1,NA,NA,NA,NA
6282,36913,6,1,NA,NA,NA,NA
6866,37880,2,1,NA,NA,NA,NA
290,30094,12,1,NA,NA,NA,NA
291,30086,1,1,NA,NA,NA,NA
292,30085,1,1,NA,NA,NA,NA
6868,37884,14,1,NA,NA,NA,NA
294,30202,12,1,NA,NA,NA,NA
296,30929,2,1,NA,NA,NA,NA
297,30070,1,1,NA,NA,NA,NA
6869,37885,14,1,NA,NA,NA,NA
299,30073,10,1,NA,NA,NA,NA
300,30072,7,1,NA,NA,NA,NA
301,30080,11,1,NA,NA,NA,NA
302,30135,14,1,NA,NA,NA,NA
303,30081,4,1,NA,NA,NA,NA
305,30075,13,1,NA,NA,NA,NA
306,30092,12,1,NA,NA,NA,NA
309,30027,1,1,NA,NA,NA,NA
311,30033,13,1,NA,NA,NA,NA
313,30071,7,1,NA,NA,NA,NA
315,30008,4,1,NA,NA,NA,NA
316,30005,7,1,NA,NA,NA,NA
317,30022,1,1,NA,NA,NA,NA
318,30021,9,1,NA,NA,NA,NA
319,30016,14,1,NA,NA,NA,NA
320,30540,1,1,NA,NA,NA,NA
321,29165,7,1,NA,NA,NA,NA
324,29913,1,1,NA,NA,NA,NA
325,29958,1,1,NA,NA,NA,NA
326,30003,2,1,NA,NA,NA,NA
327,30007,7,1,NA,NA,NA,NA
329,30001,4,1,NA,NA,NA,NA
330,29944,12,1,NA,NA,NA,NA
332,29985,7,1,NA,NA,NA,NA
334,30017,7,1,NA,NA,NA,NA
335,29952,7,1,NA,NA,NA,NA
337,30018,7,1,NA,NA,NA,NA
338,30370,2,1,NA,NA,NA,NA
339,30006,7,1,NA,NA,NA,NA
340,30011,3,1,NA,NA,NA,NA
6870,3789,1,1,NA,NA,NA,NA
342,30294,7,1,NA,NA,NA,NA
344,29991,5,1,NA,NA,NA,NA
345,29923,7,1,NA,NA,NA,NA
346,29919,7,1,NA,NA,NA,NA
347,29936,10,1,NA,NA,NA,NA
348,29891,7,1,NA,NA,NA,NA
349,29901,14,1,NA,NA,NA,NA
350,29896,1,1,NA,NA,NA,NA
351,29925,2,1,NA,NA,NA,NA
353,29898,14,1,NA,NA,NA,NA
354,29909,11,1,NA,NA,NA,NA
355,29856,14,1,NA,NA,NA,NA
356,29857,14,1,NA,NA,NA,NA
357,29885,12,1,NA,NA,NA,NA
359,29884,12,1,NA,NA,NA,NA
360,29876,7,1,NA,NA,NA,NA
361,29929,7,1,NA,NA,NA,NA
6292,26446,1,1,NA,NA,NA,NA
364,29878,7,1,NA,NA,NA,NA
365,29842,11,1,NA,NA,NA,NA
366,29811,7,1,NA,NA,NA,NA
367,29926,7,1,NA,NA,NA,NA
368,29835,11,1,NA,NA,NA,NA
6293,36601,4,1,NA,NA,NA,NA
