id|votacion_id|proyecto_ley_estado_id|activo|usercreated|usermodifed|created_at|updated_at
802|1996|25065|1|NA|NA|NA|NA
808|3079|25704|1|NA|NA|NA|NA
815|3349|29535|1|NA|NA|NA|NA
816|3390|29378|1|NA|NA|NA|NA
820|2098|25065|1|NA|NA|NA|NA
822|2529|27529|1|NA|NA|NA|NA
823|3279|29050|1|NA|NA|NA|NA
824|2911|25356|1|NA|NA|NA|NA
825|3350|29535|1|NA|NA|NA|NA
830|3351|29535|1|NA|NA|NA|NA
838|2613|25314|1|NA|NA|NA|NA
839|2614|25314|1|NA|NA|NA|NA
840|2615|25314|1|NA|NA|NA|NA
846|3567|29993|1|NA|NA|NA|NA
847|3080|25704|1|NA|NA|NA|NA
848|2616|25314|1|NA|NA|NA|NA
850|3281|29050|1|NA|NA|NA|NA
851|2646|25672|1|NA|NA|NA|NA
852|2644|28034|1|NA|NA|NA|NA
853|2645|25671|1|NA|NA|NA|NA
857|2623|28034|1|NA|NA|NA|NA
869|3353|29535|1|NA|NA|NA|NA
877|2914|25356|1|NA|NA|NA|NA
885|3568|29993|1|NA|NA|NA|NA
886|5306|27886|1|NA|NA|NA|NA
97367|11350|48576|1|NA|NA|NA|NA
891|3081|25704|1|NA|NA|NA|NA
892|2383|28155|1|NA|NA|NA|NA
893|2661|25679|1|NA|NA|NA|NA
894|2662|25679|1|NA|NA|NA|NA
895|2663|25679|1|NA|NA|NA|NA
902|1419|20678|1|NA|NA|NA|NA
903|1433|9707|1|NA|NA|NA|NA
55254|9612|43807|1|NA|NA|NA|NA
114628|11451|48502|1|NA|NA|NA|NA
910|1424|20678|1|NA|NA|NA|NA
911|1427|10232|1|NA|NA|NA|NA
912|5315|27880|1|NA|NA|NA|NA
114629|11450|48502|1|NA|NA|NA|NA
57822|8372|40621|1|NA|NA|NA|NA
63170|10264|46128|1|NA|NA|NA|NA
57823|8373|40621|1|NA|NA|NA|NA
57824|8374|40621|1|NA|NA|NA|NA
114630|11448|48502|1|NA|NA|NA|NA
929|3286|27994|1|NA|NA|NA|NA
940|5317|27880|1|NA|NA|NA|NA
943|2560|27601|1|NA|NA|NA|NA
944|2860|28113|1|NA|NA|NA|NA
56350|2182|25350|1|NA|NA|NA|NA
56351|2184|25350|1|NA|NA|NA|NA
56352|2185|25350|1|NA|NA|NA|NA
949|2751|27522|1|NA|NA|NA|NA
56353|2183|25350|1|NA|NA|NA|NA
952|3502|29846|1|NA|NA|NA|NA
953|3752|29165|1|NA|NA|NA|NA
957|3761|30264|1|NA|NA|NA|NA
958|1420|20678|1|NA|NA|NA|NA
963|1423|20678|1|NA|NA|NA|NA
970|2364|25058|1|NA|NA|NA|NA
972|2402|28155|1|NA|NA|NA|NA
973|2401|28155|1|NA|NA|NA|NA
976|1999|25055|1|NA|NA|NA|NA
977|2000|25055|1|NA|NA|NA|NA
978|2001|25055|1|NA|NA|NA|NA
979|2002|25055|1|NA|NA|NA|NA
114631|11452|48502|1|NA|NA|NA|NA
995|2365|25058|1|NA|NA|NA|NA
996|2366|25058|1|NA|NA|NA|NA
997|2367|25058|1|NA|NA|NA|NA
1002|1536|14434|1|NA|NA|NA|NA
1011|2028|25218|1|NA|NA|NA|NA
1012|2028|25164|1|NA|NA|NA|NA
1014|5320|27880|1|NA|NA|NA|NA
1017|2913|25356|1|NA|NA|NA|NA
1021|5321|27880|1|NA|NA|NA|NA
63171|10633|46683|1|NA|NA|NA|NA
1031|5322|27880|1|NA|NA|NA|NA
1034|2008|25065|1|NA|NA|NA|NA
1039|2910|25356|1|NA|NA|NA|NA
1042|2007|25065|1|NA|NA|NA|NA
1045|2908|25356|1|NA|NA|NA|NA
1046|5323|27881|1|NA|NA|NA|NA
1048|5129|28865|1|NA|NA|NA|NA
1051|4843|30540|1|NA|NA|NA|NA
1060|5324|27881|1|NA|NA|NA|NA
1062|5325|27881|1|NA|NA|NA|NA
1065|3754|29165|1|NA|NA|NA|NA
1066|3763|30211|1|NA|NA|NA|NA
1071|2530|27530|1|NA|NA|NA|NA
1073|3363|29702|1|NA|NA|NA|NA
1077|5156|30776|1|NA|NA|NA|NA
1078|5156|30774|1|NA|NA|NA|NA
1080|2544|28155|1|NA|NA|NA|NA
1085|2546|28155|1|NA|NA|NA|NA
1090|2540|28152|1|NA|NA|NA|NA
1091|3365|29702|1|NA|NA|NA|NA
1094|2569|28155|1|NA|NA|NA|NA
1098|5157|30776|1|NA|NA|NA|NA
1099|5157|30774|1|NA|NA|NA|NA
1104|2801|27598|1|NA|NA|NA|NA
55255|9611|43807|1|NA|NA|NA|NA
57826|7777|39373|1|NA|NA|NA|NA
1124|3276|29075|1|NA|NA|NA|NA
1136|5290|27878|1|NA|NA|NA|NA
1147|5291|27878|1|NA|NA|NA|NA
1151|1486|10437|1|NA|NA|NA|NA
56386|2189|25563|1|NA|NA|NA|NA
56387|2188|25563|1|NA|NA|NA|NA
1155|3503|29846|1|NA|NA|NA|NA
1156|3294|27994|1|NA|NA|NA|NA
1157|5292|27878|1|NA|NA|NA|NA
56388|2187|25563|1|NA|NA|NA|NA
56389|2186|25563|1|NA|NA|NA|NA
1160|2577|28554|1|NA|NA|NA|NA
1161|6223|28549|1|NA|NA|NA|NA
1170|5294|27878|1|NA|NA|NA|NA
1171|2561|27601|1|NA|NA|NA|NA
1173|6225|28549|1|NA|NA|NA|NA
1174|5296|27879|1|NA|NA|NA|NA
1185|2978|27520|1|NA|NA|NA|NA
1189|2359|25057|1|NA|NA|NA|NA
1193|2492|37389|1|NA|NA|NA|NA
1197|2746|27522|1|NA|NA|NA|NA
1199|2747|27522|1|NA|NA|NA|NA
1201|1438|28222|1|NA|NA|NA|NA
1204|2748|27522|1|NA|NA|NA|NA
1205|5298|27879|1|NA|NA|NA|NA
1218|2756|25423|1|NA|NA|NA|NA
1222|2547|28155|1|NA|NA|NA|NA
1227|5307|27879|1|NA|NA|NA|NA
1238|5301|27879|1|NA|NA|NA|NA
1244|3277|29075|1|NA|NA|NA|NA
1254|3465|28100|1|NA|NA|NA|NA
1257|6226|28549|1|NA|NA|NA|NA
1259|6228|28549|1|NA|NA|NA|NA
1260|3239|29050|1|NA|NA|NA|NA
1261|5304|27879|1|NA|NA|NA|NA
1263|3466|27531|1|NA|NA|NA|NA
1276|5305|27879|1|NA|NA|NA|NA
1286|2027|25218|1|NA|NA|NA|NA
1287|2027|25164|1|NA|NA|NA|NA
1289|5308|27879|1|NA|NA|NA|NA
1298|5164|30776|1|NA|NA|NA|NA
1299|5164|30774|1|NA|NA|NA|NA
1312|3755|29165|1|NA|NA|NA|NA
1314|1704|25218|1|NA|NA|NA|NA
1315|1704|25164|1|NA|NA|NA|NA
1321|3764|30211|1|NA|NA|NA|NA
