id,proyecto_ley_estado_id,congresista_id,es_coordinador,activo,usercreated,usermodifed,created_at,updated_at
71949,45460,4,,1,NA,NA,,
59149,16123,4,,1,NA,NA,,
45327,32632,4,,1,NA,NA,,
70674,44182,4,,1,NA,NA,,
26387,10859,4,,1,NA,NA,,
67860,42201,4,,1,NA,NA,,
43799,31756,4,,1,NA,NA,,
72474,45812,4,,1,NA,NA,,
38432,19563,4,,1,NA,NA,,
75041,47993,4,,1,NA,NA,,
38434,7055,4,,1,NA,NA,,
63266,38891,4,,1,NA,NA,,
71972,40482,4,,1,NA,NA,,
59172,16121,4,,1,NA,NA,,
68645,42649,4,,1,NA,NA,,
72997,45975,4,,1,NA,NA,,
77351,50325,4,,1,NA,NA,,
68136,42198,4,,1,NA,NA,,
63272,36886,4,,1,NA,NA,,
76073,48729,4,,1,NA,NA,,
74795,47812,4,,1,NA,NA,,
73772,46591,4,,1,NA,NA,,
77102,50061,4,,1,NA,NA,,
40238,29689,4,,1,NA,NA,,
60206,40642,4,,1,NA,NA,,
63279,40989,4,,1,NA,NA,,
81201,53698,4,,1,NA,NA,,
24881,10425,4,,1,NA,NA,,
70450,44085,4,,1,NA,NA,,
78389,25873,4,,1,NA,NA,,
40245,29418,4,,1,NA,NA,,
66102,17069,4,,1,NA,NA,,
68919,42935,4,,1,NA,NA,,
63799,41518,4,,1,NA,NA,,
70456,44064,4,,1,NA,NA,,
54584,25909,4,,1,NA,NA,,
58170,39551,4,,1,NA,NA,,
66108,15923,4,,1,NA,NA,,
94269,34611,4,,1,NA,NA,,
73280,46176,4,,1,NA,NA,,
77633,50466,4,,1,NA,NA,,
83524,56503,4,,1,NA,NA,,
68934,42939,4,,1,NA,NA,,
76871,49175,4,,1,NA,NA,,
25673,10035,4,,1,NA,NA,,
55881,16721,4,,1,NA,NA,,
81227,53725,4,,1,NA,NA,,
55885,16719,4,,1,NA,NA,,
60495,40890,4,,1,NA,NA,,
49232,1888,4,,1,NA,NA,,
81745,54274,4,,1,NA,NA,,
41809,30686,4,,1,NA,NA,,
83795,56856,4,,1,NA,NA,,
41043,27486,4,,1,NA,NA,,
50004,29564,4,,1,NA,NA,,
62036,14001,4,,1,NA,NA,,
50005,3102,4,,1,NA,NA,,
59221,7423,4,,1,NA,NA,,
67414,12921,4,,1,NA,NA,,
60502,40892,4,,1,NA,NA,,
68695,42748,4,,1,NA,NA,,
67416,11981,4,,1,NA,NA,,
67930,42286,4,,1,NA,NA,,
53850,37089,4,,1,NA,NA,,
56666,38810,4,,1,NA,NA,,
48990,32558,4,,1,NA,NA,,
44895,26187,4,,1,NA,NA,,
76128,48835,4,,1,NA,NA,,
50272,26111,4,,1,NA,NA,,
54626,3789,4,,1,NA,NA,,
80227,52741,4,,1,NA,NA,,
37219,6935,4,,1,NA,NA,,
50275,26112,4,,1,NA,NA,,
54628,16150,4,,1,NA,NA,,
55908,20299,4,,1,NA,NA,,
67685,40102,4,,1,NA,NA,,
69735,36293,4,,1,NA,NA,,
6759,8810,4,,1,NA,NA,,
78185,3807,4,,1,NA,NA,,
50281,35320,4,,1,NA,NA,,
79213,51476,4,,1,NA,NA,,
38253,21042,4,,1,NA,NA,,
67183,11374,4,,1,NA,NA,,
70255,43962,4,,1,NA,NA,,
59247,7419,4,,1,NA,NA,,
61807,40962,4,,1,NA,NA,,
38256,21040,4,,1,NA,NA,,
69233,43097,4,,1,NA,NA,,
60017,13707,4,,1,NA,NA,,
63857,17344,4,,1,NA,NA,,
67699,40450,4,,1,NA,NA,,
78707,51023,4,,1,NA,NA,,
78963,51293,4,,1,NA,NA,,
63348,25619,4,,1,NA,NA,,
71285,44460,4,,1,NA,NA,,
59765,39627,4,,1,NA,NA,,
27766,20647,4,,1,NA,NA,,
61815,40103,4,,1,NA,NA,,
69240,43098,4,,1,NA,NA,,
72570,7465,4,,1,NA,NA,,
77179,50128,4,,1,NA,NA,,
27771,21465,4,,1,NA,NA,,
94589,46518,4,,1,NA,NA,,
48512,34417,4,,1,NA,NA,,
20097,21757,4,,1,NA,NA,,
42625,31262,4,,1,NA,NA,,
69251,43101,4,,1,NA,NA,,
73605,21476,4,,1,NA,NA,,
42120,30845,4,,1,NA,NA,,
27785,28887,4,,1,NA,NA,,
45193,26163,4,,1,NA,NA,,
77962,50005,4,,1,NA,NA,,
79754,52508,4,,1,NA,NA,,
83850,57007,4,,1,NA,NA,,
27787,28888,4,,1,NA,NA,,
94603,45621,4,,1,NA,NA,,
65676,40808,4,,1,NA,NA,,
75917,48520,4,,1,NA,NA,,
13198,20649,4,,1,NA,NA,,
45198,32578,4,,1,NA,NA,,
40079,30290,4,,1,NA,NA,,
65680,40297,4,,1,NA,NA,,
78480,50882,4,,1,NA,NA,,
41872,30650,4,,1,NA,NA,,
27793,28889,4,,1,NA,NA,,
78994,51325,4,,1,NA,NA,,
27794,13043,4,,1,NA,NA,,
77971,50651,4,,1,NA,NA,,
80019,52820,4,,1,NA,NA,,
46739,3833,4,,1,NA,NA,,
59539,40064,4,,1,NA,NA,,
27799,28890,4,,1,NA,NA,,
38040,9810,4,,1,NA,NA,,
94617,41068,4,,1,NA,NA,,
38041,9808,4,,1,NA,NA,,
20378,22273,4,,1,NA,NA,,
36252,6993,4,,1,NA,NA,,
73630,46478,4,,1,NA,NA,,
51102,35775,4,,1,NA,NA,,
52894,36682,4,,1,NA,NA,,
38815,21256,4,,1,NA,NA,,
77216,50166,4,,1,NA,NA,,
20128,13270,4,,1,NA,NA,,
36512,19120,4,,1,NA,NA,,
38048,30228,4,,1,NA,NA,,
67489,17269,4,,1,NA,NA,,
83873,57035,4,,1,NA,NA,,
84385,57396,4,,1,NA,NA,,
46754,3831,4,,1,NA,NA,,
49315,32555,4,,1,NA,NA,,
67495,16520,4,,1,NA,NA,,
34472,19428,4,,1,NA,NA,,
34474,19426,4,,1,NA,NA,,
61612,41067,4,,1,NA,NA,,
81581,53354,4,,1,NA,NA,,
39598,21848,4,,1,NA,NA,,
73135,46073,4,,1,NA,NA,,
61615,41060,4,,1,NA,NA,,
70836,44255,4,,1,NA,NA,,
79284,51538,4,,1,NA,NA,,
82357,54573,4,,1,NA,NA,,
78262,8789,4,,1,NA,NA,,
25782,28393,4,,1,NA,NA,,
57270,39139,4,,1,NA,NA,,
62134,25510,4,,1,NA,NA,,
78263,8791,4,,1,NA,NA,,
56247,21674,4,,1,NA,NA,,
80056,41099,4,,1,NA,NA,,
25784,28394,4,,1,NA,NA,,
62904,13609,4,,1,NA,NA,,
