id,fecha,fecha_realizada,comentarios,cuatrienio_id,realizado,activo,usercreated,usermodifed,created_at,updated_at
9436,18/04/2017 15:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9402,04/04/2017 20:00,04/04/2017,NA,7,NA,1,NA,NA,NA,NA
9403,04/04/2017 15:00,04/04/2017,NA,7,NA,1,NA,NA,NA,NA
9397,15/03/2017 16:00,15/03/2017,Sesión extraordinaria,7,NA,1,NA,NA,NA,NA
9417,05/04/2017 15:00,05/04/2017,NA,7,NA,1,NA,NA,NA,NA
9383,28/03/2017 15:00,28/03/2017,NA,7,NA,1,NA,NA,NA,NA
9430,18/04/2017 15:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9484,19/04/2017 13:00,19/04/2017,NA,7,NA,1,NA,NA,NA,NA
9422,18/04/2017 19:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9379,28/03/2017 14:00,28/03/2017,NA,7,NA,1,NA,NA,NA,NA
9368,21/03/2017 19:45,21/03/2017,NA,7,NA,1,NA,NA,NA,NA
9394,22/03/2017 14:00,22/03/2017,NA,7,NA,1,NA,NA,NA,NA
9390,29/03/2017 13:00,29/03/2017,NA,7,NA,1,NA,NA,NA,NA
9361,13/03/2017 20:00,13/03/2017,Sesión extraordinaria. Procedimiento legislativo especial para la paz.,7,NA,1,NA,NA,NA,NA
9432,18/04/2017 15:00,18/04/2017,NA,7,NA,1,NA,NA,NA,NA
9468,25/04/2017 20:00,25/04/2017,NA,7,NA,1,NA,NA,NA,NA
9376,28/03/2017 15:00,28/03/2017,NA,7,NA,1,NA,NA,NA,NA
9385,04/04/2017 14:00,04/04/2017,NA,7,NA,1,NA,NA,NA,NA
9530,10/05/2017 17:00,NA,NA,7,NA,1,NA,NA,NA,NA
9586,30/05/2017 15:00,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9452,26/04/2017 14:00,NA,"Debate audiovisual, telecomunicaciones y espectro radioeléctrico fue aplazado.",7,NA,1,NA,NA,NA,NA
9560,24/05/2017 14:00,NA,NA,7,NA,1,NA,NA,NA,NA
9499,04/05/2017 13:30,04/05/2017,NA,7,NA,1,NA,NA,NA,NA
9534,16/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9514,09/05/2017 19:00,09/05/2017,NA,7,NA,1,NA,NA,NA,NA
9492,03/05/2017 14:30,NA,NA,7,NA,1,NA,NA,NA,NA
9537,16/05/2017 14:00,16/05/2017,NA,7,NA,1,NA,NA,NA,NA
9496,03/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9544,16/05/2017 15:00,16/05/2017,NA,7,NA,1,NA,NA,NA,NA
9538,16/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9573,23/05/2017 15:00,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9500,03/05/2017 15:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9504,03/05/2017 15:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9604,30/05/2017 15:00,30/05/2017,NA,7,NA,1,NA,NA,NA,NA
9574,23/05/2017 14:30,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9527,10/05/2017 20:00,NA,Se aplazó para el 16 de mayo,7,NA,1,NA,NA,NA,NA
9525,10/05/2017 13:30,10/05/2017,NA,7,NA,1,NA,NA,NA,NA
9542,16/05/2017 15:00,16/05/2017,NA,7,NA,1,NA,NA,NA,NA
9529,10/05/2017 14:00,NA,NA,7,NA,1,NA,NA,NA,NA
9503,03/05/2017 20:00,03/05/2017,NA,7,NA,1,NA,NA,NA,NA
9528,10/05/2017 20:00,10/05/2017,NA,7,NA,1,NA,NA,NA,NA
9564,24/05/2017 13:00,24/05/2017,NA,7,NA,1,NA,NA,NA,NA
9602,30/05/2017 15:00,30/05/2017,Se aprobó el PL 227/17 Senado agroturismo;,7,NA,1,NA,NA,NA,NA
9517,09/05/2017 15:00,09/05/2017,NA,7,NA,1,NA,NA,NA,NA
9491,02/05/2017 15:30,02/05/2017,NA,7,NA,1,NA,NA,NA,NA
9611,06/06/2017 15:00,06/06/2017,NA,7,NA,1,NA,NA,NA,NA
9596,31/05/2017 14:30,NA,NA,7,NA,1,NA,NA,NA,NA
9535,16/05/2017 19:00,16/05/2017,Duplicado,7,NA,1,NA,NA,NA,NA
9581,23/05/2017 15:30,23/05/2017,NA,7,NA,1,NA,NA,NA,NA
9516,09/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9543,16/05/2017 15:00,16/05/2017,NA,7,NA,1,NA,NA,NA,NA
9546,16/05/2017 15:00,16/05/2017,NA,7,NA,1,NA,NA,NA,NA
9497,02/05/2017 15:00,02/05/2017,NA,7,NA,1,NA,NA,NA,NA
9520,10/05/2017 15:00,NA,NA,7,NA,1,NA,NA,NA,NA
9521,10/05/2017 14:30,NA,NA,7,NA,1,NA,NA,NA,NA
