id,proyecto_ley_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
12128,4493,1009,1,,,,
12129,4494,9,1,,,,
12130,4495,9,1,,,,
12131,4496,683,1,,,,
12132,4497,655,1,,,,
12133,4498,312,1,,,,
12134,4499,407,1,,,,
12135,4499,644,1,,,,
12136,4499,776,1,,,,
12137,4499,885,1,,,,
12138,4499,92,1,,,,
12139,4501,58,1,,,,
12140,4502,596,1,,,,
12141,4503,596,1,,,,
12142,4505,462,1,,,,
12143,4506,915,1,,,,
12144,4507,192,1,,,,
12145,4508,411,1,,,,
12146,4509,414,1,,,,
12147,4510,786,1,,,,
12148,4511,462,1,,,,
12149,4512,753,1,,,,
12150,4513,9,1,,,,
12151,4514,457,1,,,,
12152,4515,794,1,,,,
12153,4516,769,1,,,,
12154,4518,763,1,,,,
12155,4519,58,1,,,,
12156,4520,366,1,,,,
12157,4521,885,1,,,,
12158,4522,811,1,,,,
12159,4523,192,1,,,,
12160,4524,192,1,,,,
12161,4525,192,1,,,,
12162,4526,333,1,,,,
12163,4526,339,1,,,,
12165,4526,374,1,,,,
12166,4526,411,1,,,,
12167,4526,417,1,,,,
12168,4526,19,1,,,,
12169,4526,642,1,,,,
12170,4526,695,1,,,,
12171,4526,786,1,,,,
12172,4526,828,1,,,,
12173,4526,860,1,,,,
12174,4526,925,1,,,,
12176,4527,2114,1,,,,
12177,4529,333,1,,,,
12178,4531,615,1,,,,
12179,4533,58,1,,,,
12180,4535,808,1,,,,
12181,4536,940,1,,,,
12182,4540,316,1,,,,
12183,4542,414,1,,,,
12184,4543,925,1,,,,
12185,4545,210,1,,,,
12186,4546,606,1,,,,
12187,4547,690,1,,,,
12188,4548,505,1,,,,
12189,4548,646,1,,,,
12190,4548,783,1,,,,
12191,4548,902,1,,,,
12196,4549,181,1,,,,
12199,4551,323,1,,,,
12200,4551,451,1,,,,
12201,4552,834,1,,,,
12202,4552,963,1,,,,
12203,4553,769,1,,,,
12204,4554,850,1,,,,
12205,4556,670,1,,,,
12207,4558,411,1,,,,
12208,4559,811,1,,,,
12209,4560,757,1,,,,
12211,4562,493,1,,,,
12212,4563,753,1,,,,
12213,4564,590,1,,,,
12214,4566,312,1,,,,
12216,4568,769,1,,,,
12218,4892,6,1,,,,
12219,4892,391,1,,,,
12220,4892,657,1,,,,
12221,4892,661,1,,,,
12222,4892,766,1,,,,
12223,4892,774,1,,,,
12224,4892,70,1,,,,
12225,4892,842,1,,,,
12235,4894,390,1,,,,
12236,4894,429,1,,,,
12237,4894,509,1,,,,
12238,4894,680,1,,,,
12239,4894,709,1,,,,
12240,4894,842,1,,,,
12241,4894,947,1,,,,
12242,4895,6,1,,,,
12243,4895,388,1,,,,
12244,4895,391,1,,,,
12245,4895,47,1,,,,
12246,4895,603,1,,,,
12247,4895,661,1,,,,
12248,4895,686,1,,,,
12249,4895,70,1,,,,
12250,4895,841,1,,,,
12251,4896,374,1,,,,
12252,4896,425,1,,,,
12253,4896,465,1,,,,
12254,4896,25,1,,,,
12255,4896,511,1,,,,
12256,4896,595,1,,,,
12257,4896,806,1,,,,
12258,4897,447,1,,,,
12259,4897,511,1,,,,
12261,4897,883,1,,,,
12262,4897,906,1,,,,
12263,4897,926,1,,,,
12264,4897,959,1,,,,
12265,4897,1007,1,,,,
12266,4900,329,1,,,,
12267,4900,465,1,,,,
12268,4900,806,1,,,,
12269,4900,876,1,,,,
12270,4900,1035,1,,,,
12271,4901,391,1,,,,
12273,4901,47,1,,,,
12274,4901,631,1,,,,
12275,4901,661,1,,,,
12277,4901,956,1,,,,
12278,4901,973,1,,,,
12279,4901,1035,1,,,,
12280,4902,438,1,,,,
12281,4902,28,1,,,,
12282,4902,47,1,,,,
12283,4902,604,1,,,,
12284,4902,50,1,,,,
12285,4902,661,1,,,,
12286,4902,808,1,,,,
12287,4903,4,1,,,,
12288,4903,336,1,,,,
12289,4903,407,1,,,,
12290,4903,419,1,,,,
12292,4903,595,1,,,,
12293,4903,753,1,,,,
12294,4903,192,1,,,,
12295,4903,820,1,,,,
12296,4903,849,1,,,,
12297,4903,896,1,,,,
12298,4903,925,1,,,,
12300,4903,92,1,,,,
12301,4903,1009,1,,,,
12304,4904,374,1,,,,
12305,4904,407,1,,,,
12306,4904,490,1,,,,
12307,4904,631,1,,,,
12308,4904,690,1,,,,
12309,4904,724,1,,,,
12310,4904,753,1,,,,
12311,4904,192,1,,,,
12312,4904,820,1,,,,
12313,4904,826,1,,,,
12314,4904,849,1,,,,
12315,4904,860,1,,,,
12316,4904,885,1,,,,
12317,4904,896,1,,,,
12318,4904,904,1,,,,
12319,4904,925,1,,,,
12321,4904,973,1,,,,
12322,4904,92,1,,,,
12323,4904,1009,1,,,,
12324,4905,4,1,,,,
12325,4905,366,1,,,,
12326,4905,400,1,,,,
12328,4905,642,1,,,,
12329,4905,791,1,,,,
12330,4905,92,1,,,,
12331,4906,4,1,,,,
12332,4906,422,1,,,,
12333,4906,435,1,,,,
12334,4906,604,1,,,,
12335,4906,605,1,,,,
12336,4906,765,1,,,,
12337,4906,786,1,,,,
12339,4907,4,1,,,,
12340,4907,414,1,,,,
12341,4907,141,1,,,,
12343,4907,690,1,,,,
