id,agenda_legislativa,comision_id,corporacion_id,activo,usercreated,usermodifed,created_at,updated_at
2798,9693,2,2,1,NA,NA,NA,NA
2799,9691,13,1,1,NA,NA,NA,NA
2800,9690,13,1,1,NA,NA,NA,NA
2801,9689,14,1,1,NA,NA,NA,NA
2802,9688,14,1,1,NA,NA,NA,NA
2803,9686,1,1,1,NA,NA,NA,NA
2804,9685,13,1,1,NA,NA,NA,NA
2805,9684,13,1,1,NA,NA,NA,NA
2806,9683,14,1,1,NA,NA,NA,NA
2807,9682,2,2,1,NA,NA,NA,NA
2808,9678,1,1,1,NA,NA,NA,NA
2809,9676,8,1,1,NA,NA,NA,NA
2810,9675,1,1,1,NA,NA,NA,NA
2811,9671,2,2,1,NA,NA,NA,NA
2812,9669,9,2,1,NA,NA,NA,NA
2813,9668,12,2,1,NA,NA,NA,NA
2814,9666,1,1,1,NA,NA,NA,NA
2815,9666,7,2,1,NA,NA,NA,NA
2816,9665,4,2,1,NA,NA,NA,NA
2817,9664,10,2,1,NA,NA,NA,NA
2818,9663,6,2,1,NA,NA,NA,NA
2819,9662,2,2,1,NA,NA,NA,NA
2820,9661,11,1,1,NA,NA,NA,NA
2821,9660,31,1,1,NA,NA,NA,NA
2822,9659,14,1,1,NA,NA,NA,NA
2823,9658,8,1,1,NA,NA,NA,NA
2824,9657,13,1,1,NA,NA,NA,NA
2825,9656,33,NA,1,NA,NA,NA,NA
2826,9655,7,2,1,NA,NA,NA,NA
2827,9654,11,1,1,NA,NA,NA,NA
2828,9653,3,1,1,NA,NA,NA,NA
2829,9651,7,2,1,NA,NA,NA,NA
2830,9650,1,1,1,NA,NA,NA,NA
2831,9648,10,2,1,NA,NA,NA,NA
2832,9647,12,2,1,NA,NA,NA,NA
2833,9646,4,2,1,NA,NA,NA,NA
2834,9645,5,1,1,NA,NA,NA,NA
2835,9644,9,2,1,NA,NA,NA,NA
2836,9644,5,1,1,NA,NA,NA,NA
2837,9643,5,1,1,NA,NA,NA,NA
2838,9642,6,2,1,NA,NA,NA,NA
2839,9641,2,2,1,NA,NA,NA,NA
2840,9639,6,2,1,NA,NA,NA,NA
2841,9638,4,2,1,NA,NA,NA,NA
2842,9637,2,2,1,NA,NA,NA,NA
2843,9635,1,1,1,NA,NA,NA,NA
2844,9634,3,1,1,NA,NA,NA,NA
2845,9633,14,1,1,NA,NA,NA,NA
2846,9632,2,2,1,NA,NA,NA,NA
2847,9631,7,2,1,NA,NA,NA,NA
2848,9628,7,2,1,NA,NA,NA,NA
2849,9627,8,1,1,NA,NA,NA,NA
2850,9626,11,1,1,NA,NA,NA,NA
2851,9625,3,1,1,NA,NA,NA,NA
2852,9624,13,1,1,NA,NA,NA,NA
2853,9623,9,2,1,NA,NA,NA,NA
2854,9622,10,2,1,NA,NA,NA,NA
2855,9620,2,2,1,NA,NA,NA,NA
2856,9619,4,2,1,NA,NA,NA,NA
2857,9617,6,2,1,NA,NA,NA,NA
2858,9616,9,2,1,NA,NA,NA,NA
2859,9614,1,1,1,NA,NA,NA,NA
2860,9613,5,1,1,NA,NA,NA,NA
2861,9612,14,1,1,NA,NA,NA,NA
2862,9611,11,1,1,NA,NA,NA,NA
2863,9609,7,2,1,NA,NA,NA,NA
2864,9607,2,2,1,NA,NA,NA,NA
2865,9606,6,2,1,NA,NA,NA,NA
2866,9604,13,1,1,NA,NA,NA,NA
2867,9603,14,1,1,NA,NA,NA,NA
2868,9602,3,1,1,NA,NA,NA,NA
2869,9601,14,1,1,NA,NA,NA,NA
2870,9600,3,1,1,NA,NA,NA,NA
2871,9599,5,1,1,NA,NA,NA,NA
2872,9598,11,1,1,NA,NA,NA,NA
2873,9596,9,2,1,NA,NA,NA,NA
2874,9595,12,2,1,NA,NA,NA,NA
2875,9594,1,1,1,NA,NA,NA,NA
2876,9593,2,2,1,NA,NA,NA,NA
2877,9592,9,2,1,NA,NA,NA,NA
2878,9590,4,2,1,NA,NA,NA,NA
2879,9589,4,2,1,NA,NA,NA,NA
2880,9588,7,2,1,NA,NA,NA,NA
2881,9587,1,1,1,NA,NA,NA,NA
2882,9586,6,2,1,NA,NA,NA,NA
2883,9583,1,1,1,NA,NA,NA,NA
2884,9582,14,1,1,NA,NA,NA,NA
2885,9581,14,1,1,NA,NA,NA,NA
2886,9580,13,1,1,NA,NA,NA,NA
2887,9579,5,1,1,NA,NA,NA,NA
2888,9578,3,1,1,NA,NA,NA,NA
2889,9577,3,1,1,NA,NA,NA,NA
2890,9575,5,1,1,NA,NA,NA,NA
2891,9574,7,2,1,NA,NA,NA,NA
2892,9573,1,1,1,NA,NA,NA,NA
2893,9572,4,2,1,NA,NA,NA,NA
2894,9571,9,2,1,NA,NA,NA,NA
2895,9570,12,2,1,NA,NA,NA,NA
2896,9569,9,2,1,NA,NA,NA,NA
2897,9568,4,2,1,NA,NA,NA,NA
2898,9567,7,2,1,NA,NA,NA,NA
2899,9565,11,1,1,NA,NA,NA,NA
2900,9564,2,2,1,NA,NA,NA,NA
2901,9563,2,2,1,NA,NA,NA,NA
2902,9562,4,2,1,NA,NA,NA,NA
2903,9561,4,2,1,NA,NA,NA,NA
2904,9560,6,2,1,NA,NA,NA,NA
2905,9559,6,2,1,NA,NA,NA,NA
2906,9558,9,2,1,NA,NA,NA,NA
2907,9557,14,1,1,NA,NA,NA,NA
2908,9556,11,1,1,NA,NA,NA,NA
2909,9555,1,1,1,NA,NA,NA,NA
2910,9553,5,1,1,NA,NA,NA,NA
2911,9552,8,1,1,NA,NA,NA,NA
2912,9552,10,2,1,NA,NA,NA,NA
2913,9552,12,2,1,NA,NA,NA,NA
2914,9552,13,1,1,NA,NA,NA,NA
2915,9551,2,2,1,NA,NA,NA,NA
2916,9549,12,2,1,NA,NA,NA,NA
2917,9548,8,1,1,NA,NA,NA,NA
2918,9548,10,2,1,NA,NA,NA,NA
2919,9548,12,2,1,NA,NA,NA,NA
2920,9548,13,1,1,NA,NA,NA,NA
2921,9546,5,1,1,NA,NA,NA,NA
2922,9545,1,1,1,NA,NA,NA,NA
2923,9544,3,1,1,NA,NA,NA,NA
2924,9543,14,1,1,NA,NA,NA,NA
2925,9542,11,1,1,NA,NA,NA,NA
2926,9541,7,2,1,NA,NA,NA,NA
2927,9540,7,2,1,NA,NA,NA,NA
2928,9539,6,2,1,NA,NA,NA,NA
2929,9538,6,2,1,NA,NA,NA,NA
2930,9537,9,2,1,NA,NA,NA,NA
2931,9534,4,2,1,NA,NA,NA,NA
2932,9533,2,2,1,NA,NA,NA,NA
2933,9532,4,2,1,NA,NA,NA,NA
2934,9531,6,2,1,NA,NA,NA,NA
2935,9530,8,1,1,NA,NA,NA,NA
2936,9530,10,2,1,NA,NA,NA,NA
2937,9530,12,2,1,NA,NA,NA,NA
2938,9530,13,1,1,NA,NA,NA,NA
2939,9529,7,2,1,NA,NA,NA,NA
2940,9526,11,1,1,NA,NA,NA,NA
2941,9525,9,2,1,NA,NA,NA,NA
2942,9524,6,2,1,NA,NA,NA,NA
2943,9523,14,1,1,NA,NA,NA,NA
2944,9522,14,1,1,NA,NA,NA,NA
2945,9521,5,1,1,NA,NA,NA,NA
2946,9520,3,1,1,NA,NA,NA,NA
2947,9519,3,1,1,NA,NA,NA,NA
2948,9518,13,1,1,NA,NA,NA,NA
2949,9517,1,1,1,NA,NA,NA,NA
2950,9516,14,1,1,NA,NA,NA,NA
2951,9513,7,2,1,NA,NA,NA,NA
2952,9512,2,2,1,NA,NA,NA,NA
2953,9511,4,2,1,NA,NA,NA,NA
2954,9510,9,2,1,NA,NA,NA,NA
2955,9510,5,1,1,NA,NA,NA,NA
2956,9509,12,2,1,NA,NA,NA,NA
2957,9508,4,2,1,NA,NA,NA,NA
2958,9507,14,1,1,NA,NA,NA,NA
2959,9506,13,1,1,NA,NA,NA,NA
2960,9505,11,1,1,NA,NA,NA,NA
2961,9504,1,1,1,NA,NA,NA,NA
2962,9501,7,2,1,NA,NA,NA,NA
2963,9500,2,2,1,NA,NA,NA,NA
2964,9499,7,2,1,NA,NA,NA,NA
2965,9498,3,1,1,NA,NA,NA,NA
2966,9497,3,1,1,NA,NA,NA,NA
2967,9496,8,1,1,NA,NA,NA,NA
2968,9496,10,2,1,NA,NA,NA,NA
2969,9496,12,2,1,NA,NA,NA,NA
2970,9496,13,1,1,NA,NA,NA,NA
2971,9495,9,2,1,NA,NA,NA,NA
